	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length			
PL_0	0.00000000154780725	0.0000000015474954	0.0000000015473172	0.0000000015468816	0.00000000154694595	0.00000000154843095	0.00000000154756635	0.00000000154775775	0.00000000154804485	0.00000000154807125	0.00000000154797885	0.00000000154772145	0.0000000015470532	0.0000000015475152	0.0000000015481686	0.00000000154844085	0.00000000154845735	0.00000000154777425	0.00000000154838145	0.0000000015483006	0.00000000154831875	0.0000000015469047	0.00000000154794915	0.0000000015477924	0.00000000154844085	0.00000000154745085	0.0000000015470631	0.0000000015470004			
TESTMODE	0.0000000012215148	0.0000000012780636	0.00000000118693575	0.0000000013075425	0.000000001211001	0.0000000012452748	0.00000000121043835	0.00000000120862995	0.0000000012308736	0.0000000012366222	0.00000000147249135	0.00000000121242495	0.0000000012195216	0.00000000129949215	0.0000000011870727	0.000000001250007	0.00000000125733465	0.00000000135205455	0.0000000011863533	0.00000000125222295	0.000000001374615	0.00000000126413265	0.000000001511994	0.00000000120547185	0.00000000130937235	0.00000000135628515	0.0000000012607089	0.0000000013657314			
XOSC_EXTAL	0.0000000012096216	0.00000000130496685	0.0000000012613656	0.0000000012642234	0.000000001277892	0.00000000125482665	0.00000000122577345	0.00000000125070165	0.00000000124315785	0.00000000130058115	0.0000000014812248	0.0000000011964084	0.000000001279839	0.00000000129017625	0.0000000013560723	0.0000000012426843	0.00000000144797235	0.0000000014431956	0.0000000011885082	0.00000000131103885	0.00000000132322905	0.00000000119409345	0.00000000127156095	0.00000000128312415	0.0000000012750507	0.00000000139884855	0.00000000123545565	0.0000000012511917			
XOSC_XTAL	0.00000000121537515	0.00000000124912755	0.00000000120236325	0.0000000015456177	0.0000000012905739	0.00000000125877015	0.0000000012446412	0.0000000013268706	0.00000000121165935	0.0000000011914452	0.0000000013815483	0.0000000012843963	0.00000000128960535	0.0000000013739319	0.000000001349436	0.0000000013254846	0.0000000012104367	0.0000000013541286	0.0000000012683715	0.00000000130383	0.00000000142345665	0.0000000012289827	0.000000001250931	0.000000001324983	0.00000000143830335	0.00000000136281915	0.0000000012884124	0.0000000012566796			
RESET_B	0.0000000012417867	0.00000000118639455	0.0000000012608178	0.00000000140781135	0.0000000011892936	0.00000000122415315	0.00000000119706675	0.0000000012310716	0.00000000141028635	0.0000000013989393	0.0000000012872178	0.00000000120091125	0.0000000011883333	0.0000000012302928	0.0000000011877888	0.00000000118779045	0.00000000143834295	0.0000000014054502	0.0000000012155484	0.00000000125202	0.00000000134097315	0.0000000012436083	0.00000000135999435	0.0000000013165086	0.00000000152952525	0.00000000119725815	0.00000000120228075	0.0000000011877657			
POR_B	0.0000000012424401	0.0000000013012296	0.00000000123301365	0.0000000013220394	0.00000000125613675	0.0000000012902076	0.0000000012056517	0.0000000012204918	0.0000000012063645	0.00000000120833295	0.00000000141360945	0.0000000011950026	0.00000000123253845	0.00000000133800315	0.00000000119379975	0.00000000120061755	0.00000000131921955	0.00000000136504335	0.00000000121853985	0.00000000120713835	0.0000000013828452	0.00000000119471385	0.00000000149860755	0.00000000121690965	0.00000000132191565	0.00000000130165035	0.00000000125419965	0.00000000138196905			
POST_AN	0.00000000126052905	0.00000000127670235	0.000000001315842	0.00000000162085605	0.00000000131610435	0.000000001243704	0.00000000123937605	0.0000000011916993	0.00000000125112735	0.0000000013376913	0.00000000131743095	0.00000000119556525	0.0000000012131988	0.0000000012622236	0.000000001289706	0.0000000011893332	0.0000000013219602	0.00000000140782125	0.00000000123904935	0.0000000012521883	0.0000000013472052	0.0000000011927091	0.00000000127963935	0.00000000135154305	0.0000000015310548	0.0000000012205776	0.0000000012988602	0.0000000012317514			
TCK	0.000000001195392	0.0000000012409353	0.0000000011954745	0.0000000016300713	0.0000000012371502	0.0000000012126312	0.0000000012114861	0.00000000125376405	0.00000000121326975	0.00000000138815655	0.00000000132510015	0.00000000126202065	0.00000000129889815	0.0000000012347181	0.0000000013329261	0.00000000128342775	0.00000000139074375	0.00000000144895245	0.0000000012750144	0.0000000012072852	0.000000001317327	0.0000000011873334	0.0000000014429085	0.0000000011882673	0.0000000015160134	0.00000000127695645	0.0000000011866767	0.0000000013416876			
TMS	0.0000000012141921	0.0000000012476739	0.0000000012933822	0.0000000016811916	0.00000000119448615	0.00000000121884675	0.00000000120048555	0.00000000121921635	0.00000000124277835	0.00000000129605685	0.00000000137118135	0.00000000118741425	0.00000000119291865	0.00000000118933815	0.00000000118827555	0.0000000011929104	0.0000000012759549	0.00000000130568955	0.0000000011988372	0.0000000012439944	0.0000000013248477	0.0000000012250887	0.0000000012607485	0.00000000122708355	0.00000000130820745	0.0000000011891781	0.00000000120512865	0.0000000011918874			
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
																															
	0.00000000127888695	0.00000000128652975	0.00000000129203085	0.0000000014289495	0.00000000144152415	0.0000000013344903	0.0000000011921745	0.00000000123504315	0.00000000118983315	0.00000000120350505	0.0000000014227488	0.000000001197141	0.0000000012034737	0.0000000012037212	0.00000000121469205	0.00000000118666185	0.0000000013335597	0.00000000146154855	0.00000000124561635	0.0000000012054768	0.00000000119240715	0.00000000129046005	0.0000000012932865	0.00000000121690965	0.0000000014093145	0.0000000013473537	0.000000001194204	0.0000000011980188			
	0.00000000125610705	0.0000000012266331	0.000000001313433	0.00000000152811615	0.000000001318911	0.00000000126197775	0.000000001235058	0.00000000120530355	0.00000000123180585	0.0000000012170202	0.0000000013780833	0.0000000011941842	0.0000000011880462	0.00000000120341595	0.00000000121239525	0.0000000011876898	0.00000000147576825	0.00000000129030495	0.00000000122254935	0.0000000012001539	0.00000000120060105	0.00000000130008945	0.0000000013114761	0.00000000123433695	0.00000000150096045	0.00000000136011315	0.0000000012546963	0.0000000011960586			
	0.00000000154678095	0.0000000015461259	0.00000000154638825	0.00000000154607145	0.00000000154694925	0.000000001546611	0.00000000154735515	0.00000000154590315	0.0000000015463899	0.00000000154721655	0.00000000154598235	0.00000000154582395	0.0000000015467892	0.0000000015471027	0.00000000154579755	0.0000000015464955	0.00000000154723635	0.0000000015461688	0.00000000154672485	0.00000000154609125	0.00000000154720335	0.00000000154715385	0.0000000015463041	0.0000000015472545	0.00000000154591305	0.0000000015469212	0.0000000015470334	0.000000001547073			
	0.00000000154729245	0.00000000154666545	0.0000000015458157	0.000000001547007	0.0000000015463569	0.0000000015464988	0.00000000154669515	0.0000000015471225	0.00000000154663905	0.000000001545786	0.0000000015460533	0.0000000015463932	0.00000000154637175	0.00000000154575795	0.0000000015461226	0.00000000154675125	0.0000000015470565	0.00000000154588335	0.00000000154643445	0.00000000154718355	0.00000000154597575	0.0000000015460137	0.00000000154657965	0.00000000154732545	0.0000000015459609	0.000000001545852	0.000000001545786	0.0000000015462282			
	0.00000000154653015	0.0000000015470928	0.00000000154645095	0.00000000154728255	0.0000000015457266	0.000000001547073	0.000000001546512	0.0000000015473106	0.00000000154701855	0.00000000154714395	0.00000000154666875	0.00000000154639485	0.0000000015465021	0.00000000154728915	0.000000001546644	0.0000000015457761	0.00000000154720665	0.00000000154682055	0.0000000015460401	0.00000000154736505	0.00000000154630575	0.0000000015459114	0.00000000154735515	0.0000000015469443	0.00000000154630575	0.00000000154701195	0.0000000015473601	0.00000000154666545			
	0.00000000154657965	0.000000001545786	0.0000000015468486	0.00000000154670835	0.00000000154658295	0.0000000015459642	0.00000000154577775	0.00000000154628595	0.0000000015458355	0.00000000154669845	0.00000000154670505	0.00000000154641135	0.0000000015470961	0.00000000154611105	0.0000000015470532	0.0000000015473469	0.0000000015462051	0.00000000154723305	0.0000000015465582	0.0000000015471654	0.000000001546248	0.00000000154610445	0.00000000154641795	0.000000001546611	0.0000000015461292	0.00000000154608465	0.0000000015465219	0.0000000015470004			
	0.00000000154646085	0.00000000154685355	0.00000000154643115	0.0000000015463767	0.00000000154580745	0.0000000015458784	0.00000000154684695	0.0000000015467331	0.0000000015471456	0.00000000154625295	0.00000000154718355	0.000000001546017	0.0000000015460863	0.00000000154683705	0.0000000015466836	0.0000000015473007	0.0000000015461424	0.0000000015472908	0.00000000154701855	0.00000000154624965	0.0000000015466209	0.000000001545852	0.0000000015460137	0.00000000154732875	0.00000000154721655	0.0000000015457266	0.0000000015463866	0.00000000154618695			
	0.00000000152384265	0.00000000118710075	0.00000000119146005	0.0000000013843896	0.00000000132335445	0.0000000015338895	0.00000000125895165	0.00000000123929025	0.0000000014653683	0.00000000121250415	0.00000000138678705	0.0000000011908281	0.00000000120423105	0.00000000125659875	0.0000000011966658	0.00000000141252375	0.00000000150773865	0.0000000013811358	0.0000000014927187	0.00000000146159475	0.00000000123795375	0.00000000119290545	0.0000000011887953	0.0000000014872671	0.0000000014420505	0.00000000148245405	0.00000000146679885	0.0000000012383778			
	0.0000000015458091	0.0000000015471654	0.000000001546512	0.00000000154682715	0.0000000015459807	0.000000001545885	0.00000000154703835	0.00000000154621995	0.00000000154582395	0.0000000015468453	0.0000000015459477	0.000000001545786	0.0000000015461919	0.0000000015471753	0.00000000154691295	0.00000000154640805	0.00000000154612755	0.00000000154586355	0.00000000154712745	0.00000000154616385	0.0000000015461754	0.00000000154632885	0.0000000015458619	0.00000000154730565	0.00000000154626945	0.000000001546512	0.00000000154676445	0.0000000015457893			
	0.0000000015460698	0.0000000015459213	0.0000000015466275	0.0000000015464658	0.00000000154734525	0.0000000015464658	0.00000000154695915	0.00000000154653345	0.0000000015465351	0.00000000154572495	0.0000000015472017	0.00000000154668855	0.00000000154643115	0.00000000154621335	0.0000000015465549	0.00000000154736835	0.00000000154634865	0.000000001546578	0.000000001546083	0.0000000015459543	0.00000000154589985	0.0000000015461523	0.00000000154659945	0.00000000154652685	0.00000000154736175	0.0000000015464757	0.00000000154641465	0.0000000015458289			
	0.0000000015473469	0.00000000154710765	0.00000000154690305	0.00000000154642125	0.00000000154600545	0.00000000154719015	0.0000000015459477	0.0000000015472776	0.00000000154685025	0.00000000154718355	0.0000000015472149	0.00000000154670835	0.00000000154701195	0.00000000154736175	0.000000001547007	0.0000000015463437	0.000000001547337	0.0000000015469707	0.0000000015463305	0.0000000015465615	0.0000000015471786	0.0000000015465879	0.00000000154577445	0.0000000015463701	0.0000000015468486	0.0000000015469971	0.00000000154635525	0.0000000015462348			
	0.00000000154585035	0.00000000154703835	0.0000000015467166	0.00000000154605825	0.0000000015460269	0.0000000015458916	0.0000000015463404	0.00000000154685025	0.0000000015461457	0.00000000154593615	0.0000000015458223	0.00000000154711425	0.000000001546182	0.00000000154701525	0.0000000015472545	0.0000000015457827	0.00000000154616055	0.0000000015471819	0.00000000154575465	0.00000000154602195	0.00000000154615725	0.00000000154593615	0.0000000015460104	0.00000000154651035	0.0000000015464097	0.00000000154601535	0.00000000154678095	0.0000000015458421			
	0.0000000015462546	0.0000000015473304	0.0000000015466605	0.00000000154725285	0.0000000015459411	0.00000000154713075	0.00000000154718355	0.0000000015461193	0.0000000015463833	0.00000000154640805	0.00000000154632225	0.00000000154638495	0.0000000015459378	0.0000000015473238	0.000000001547271	0.0000000015473073	0.00000000154599555	0.0000000015457299	0.00000000154671	0.00000000154581405	0.0000000015458256	0.00000000154645755	0.0000000015458718	0.00000000154621005	0.0000000015464163	0.00000000154697895	0.00000000154705815	0.00000000154686675			
	0.00000000154638	0.00000000154628595	0.0000000015465087	0.0000000015458223	0.00000000154605	0.0000000015461556	0.00000000154599225	0.0000000015464196	0.00000000154606815	0.0000000015472974	0.00000000154694925	0.000000001545819	0.0000000015469344	0.0000000015468189	0.0000000015467133	0.0000000015466209	0.0000000015460302	0.00000000154664895	0.0000000015471192	0.0000000015462117	0.00000000154675125	0.00000000154643115	0.0000000015470829	0.0000000015472182	0.00000000154669185	0.00000000154704495	0.0000000015473634	0.0000000015467892			
	0.00000000154576125	0.00000000154701525	0.00000000154572165	0.00000000154711095	0.00000000154671	0.0000000015460566	0.00000000154625955	0.00000000154661595	0.0000000015471522	0.00000000154627275	0.0000000015467397	0.0000000015463998	0.0000000015469938	0.0000000015461787	0.0000000015458322	0.0000000015468981	0.0000000015462117	0.0000000015465285	0.00000000154735845	0.00000000154578435	0.00000000154621665	0.00000000154633875	0.00000000154722975	0.00000000154589325	0.0000000015466242	0.0000000015460533	0.00000000154695255	0.00000000154648725			
	0.00000000154594935	0.0000000015459576	0.00000000154652025	0.00000000154629255	0.000000001547073	0.000000001546677	0.0000000015468849	0.00000000154609125	0.00000000154704	0.00000000154714725	0.00000000154626285	0.000000001547073	0.0000000015460698	0.00000000154724955	0.0000000015469179	0.00000000154646415	0.00000000154731225	0.0000000015462018	0.00000000154593285	0.000000001546281	0.0000000015463041	0.0000000015460797	0.00000000154680735	0.00000000154727925	0.0000000015463701	0.0000000015471192	0.00000000154675455	0.00000000154636185			
	0.00000000154695915	0.00000000154753665	0.00000000154739145	0.00000000154702185	0.00000000154834845	0.0000000015483105	0.00000000154844085	0.0000000015473337	0.00000000154765875	0.0000000015472776	0.00000000154754655	0.00000000154799535	0.00000000154696245	0.0000000015479244	0.0000000015479145	0.0000000015472743	0.00000000154792275	0.0000000015477462	0.0000000015478353	0.00000000154739145	0.0000000015473832	0.0000000015469872	0.00000000154729575	0.0000000015474921	0.0000000015473799	0.000000001547799	0.0000000015477726	0.00000000154843095			
	0.00000000154735845	0.00000000154787325	0.0000000015474987	0.0000000015473865	0.00000000154705815	0.00000000154758615	0.00000000154693935	0.00000000154711755	0.000000001548294	0.0000000015481587	0.00000000154814055	0.00000000154767525	0.000000001548195	0.00000000154727595	0.0000000015474459	0.0000000015481026	0.00000000154698225	0.0000000015472809	0.00000000154770165	0.00000000154836165	0.0000000015474756	0.0000000015484557	0.00000000154741785	0.00000000154758945	0.0000000015481191	0.0000000015475614	0.00000000154703835	0.0000000015477429			
	0.00000000154787655	0.00000000154747065	0.0000000015477693	0.00000000154772805	0.0000000015481125	0.00000000154704	0.00000000154772805	0.0000000015479277	0.0000000015478815	0.00000000154776765	0.0000000015470697	0.00000000154759605	0.0000000015479772	0.00000000154839795	0.00000000154727265	0.00000000154824285	0.00000000154721325	0.00000000154784685	0.00000000154795905	0.00000000154698885	0.00000000154717695	0.00000000154778415	0.0000000015484557	0.0000000015471621	0.0000000015479046	0.0000000015483072	0.0000000015484425	0.0000000015470598			
	0.00000000154749375	0.00000000154749705	0.00000000154714725	0.000000001547898	0.0000000015484194	0.00000000154699545	0.00000000154748715	0.0000000015481455	0.0000000015478881	0.00000000154775115	0.00000000154707465	0.0000000015474294	0.00000000154824285	0.0000000015472578	0.0000000015482016	0.00000000154839465	0.0000000015483897	0.0000000015482082	0.00000000154768185	0.0000000015473568	0.0000000015476043	0.0000000015479046	0.0000000015472446	0.0000000015476505	0.00000000154691955	0.00000000154786995	0.00000000154753335	0.00000000154745745			
	0.00000000154721325	0.00000000154699875	0.00000000154791615	0.0000000015478881	0.00000000154703175	0.00000000154804155	0.00000000154822305	0.0000000015478155	0.000000001547832	0.00000000154704165	0.00000000154845735	0.00000000154818345	0.0000000015484293	0.00000000154830555	0.0000000015478155	0.0000000015472809	0.00000000154822965	0.00000000154835835	0.00000000154839795	0.00000000154821645	0.0000000015481521	0.00000000154709115	0.0000000015471456	0.0000000015485118	0.00000000154822635	0.00000000154840125	0.0000000015473436	0.00000000154749375			
	0.0000000012718992	0.000000001217436	0.0000000012544785	0.0000000013877028	0.00000000139298775	0.0000000012214752	0.0000000012556764	0.00000000119482275	0.00000000120905565	0.00000000127474545	0.0000000014321703	0.00000000124555035	0.0000000012327909	0.0000000012425424	0.0000000012728232	0.00000000123817815	0.00000000141884325	0.00000000144057045	0.00000000120505275	0.00000000125692545	0.00000000124258035	0.0000000012713316	0.00000000139895085	0.00000000122854545	0.00000000144594945	0.00000000139026195	0.0000000012015894	0.0000000012411465			
	0.00000000144922635	0.0000000013012098	0.00000000135050685	0.00000000149018595	0.00000000128867805	0.0000000013310253	0.00000000121209	0.000000001188297	0.00000000129382935	0.0000000012007446	0.0000000014473833	0.0000000012033483	0.0000000012734634	0.00000000132587895	0.00000000121507155	0.0000000012917421	0.0000000013563759	0.00000000135215025	0.00000000129000465	0.0000000013233627	0.00000000119898405	0.0000000012440043	0.00000000140754735	0.00000000132765105	0.00000000137202615	0.00000000132712635	0.0000000012651573	0.0000000012736284			
	0.0000000012757932	0.000000001204797	0.00000000125967105	0.00000000157519065	0.00000000134527965	0.0000000012566499	0.00000000122876655	0.00000000118924575	0.00000000136668015	0.00000000129577635	0.0000000013012032	0.00000000119425185	0.0000000012147267	0.00000000131516715	0.0000000013028928	0.00000000119695125	0.0000000012150996	0.0000000014539272	0.0000000012127797	0.000000001272711	0.0000000014002395	0.0000000011918181	0.0000000013672164	0.0000000012682164	0.00000000147347145	0.000000001227336	0.00000000118661235	0.00000000124311			
	0.00000000127581465	0.0000000012048267	0.0000000012598113	0.0000000015752154	0.00000000134529615	0.00000000125680005	0.00000000122883585	0.0000000011891319	0.00000000136665045	0.00000000129589515	0.0000000013013253	0.00000000119410005	0.0000000012148785	0.00000000131531235	0.0000000013027608	0.0000000011969562	0.00000000121508805	0.0000000014538381	0.00000000121278795	0.00000000127267305	0.00000000140030385	0.000000001191795	0.0000000013673286	0.00000000126815865	0.00000000147355065	0.00000000122747625	0.000000001186647	0.0000000012430374			
	0.00000000121083765	0.0000000011904354	0.00000000128707095	0.00000000132721545	0.00000000122417295	0.000000001257201	0.00000000118763535	0.00000000119384925	0.000000001236114	0.0000000013239171	0.00000000134039235	0.0000000011971575	0.00000000124521705	0.00000000119137425	0.0000000012595341	0.0000000012022659	0.0000000012121362	0.0000000014994243	0.0000000012285768	0.00000000125366835	0.00000000131669835	0.00000000121287045	0.00000000129376665	0.00000000119288895	0.00000000158642715	0.0000000013122318	0.00000000119386905	0.00000000119138085			
	0.00000000154780725	0.0000000015474954	0.0000000015473172	0.0000000015468816	0.00000000154694595	0.00000000154843095	0.00000000154756635	0.00000000154775775	0.00000000154804485	0.00000000154807125	0.00000000154797885	0.00000000154772145	0.0000000015470532	0.0000000015475152	0.0000000015481686	0.00000000154844085	0.00000000154845735	0.00000000154777425	0.00000000154838145	0.0000000015483006	0.00000000154831875	0.0000000015469047	0.00000000154794915	0.0000000015477924	0.00000000154844085	0.00000000154745085	0.0000000015470631	0.0000000015470004			
	0.0000000012215148	0.0000000012780636	0.00000000118693575	0.0000000013075425	0.000000001211001	0.0000000012452748	0.00000000121043835	0.00000000120862995	0.0000000012308736	0.0000000012366222	0.00000000147249135	0.00000000121242495	0.0000000012195216	0.00000000129949215	0.0000000011870727	0.000000001250007	0.00000000125733465	0.00000000135205455	0.0000000011863533	0.00000000125222295	0.000000001374615	0.00000000126413265	0.000000001511994	0.00000000120547185	0.00000000130937235	0.00000000135628515	0.0000000012607089	0.0000000013657314			
	0.0000000012096216	0.00000000130496685	0.0000000012613656	0.0000000012642234	0.000000001277892	0.00000000125482665	0.00000000122577345	0.00000000125070165	0.00000000124315785	0.00000000130058115	0.0000000014812248	0.0000000011964084	0.000000001279839	0.00000000129017625	0.0000000013560723	0.0000000012426843	0.00000000144797235	0.0000000014431956	0.0000000011885082	0.00000000131103885	0.00000000132322905	0.00000000119409345	0.00000000127156095	0.00000000128312415	0.0000000012750507	0.00000000139884855	0.00000000123545565	0.0000000012511917			
	0.00000000121537515	0.00000000124912755	0.00000000120236325	0.0000000015456177	0.0000000012905739	0.00000000125877015	0.0000000012446412	0.0000000013268706	0.00000000121165935	0.0000000011914452	0.0000000013815483	0.0000000012843963	0.00000000128960535	0.0000000013739319	0.000000001349436	0.0000000013254846	0.0000000012104367	0.0000000013541286	0.0000000012683715	0.00000000130383	0.00000000142345665	0.0000000012289827	0.000000001250931	0.000000001324983	0.00000000143830335	0.00000000136281915	0.0000000012884124	0.0000000012566796			
	0.0000000012417867	0.00000000118639455	0.0000000012608178	0.00000000140781135	0.0000000011892936	0.00000000122415315	0.00000000119706675	0.0000000012310716	0.00000000141028635	0.0000000013989393	0.0000000012872178	0.00000000120091125	0.0000000011883333	0.0000000012302928	0.0000000011877888	0.00000000118779045	0.00000000143834295	0.0000000014054502	0.0000000012155484	0.00000000125202	0.00000000134097315	0.0000000012436083	0.00000000135999435	0.0000000013165086	0.00000000152952525	0.00000000119725815	0.00000000120228075	0.0000000011877657			
	0.0000000012424401	0.0000000013012296	0.00000000123301365	0.0000000013220394	0.00000000125613675	0.0000000012902076	0.0000000012056517	0.0000000012204918	0.0000000012063645	0.00000000120833295	0.00000000141360945	0.0000000011950026	0.00000000123253845	0.00000000133800315	0.00000000119379975	0.00000000120061755	0.00000000131921955	0.00000000136504335	0.00000000121853985	0.00000000120713835	0.0000000013828452	0.00000000119471385	0.00000000149860755	0.00000000121690965	0.00000000132191565	0.00000000130165035	0.00000000125419965	0.00000000138196905			
	0.00000000126052905	0.00000000127670235	0.000000001315842	0.00000000162085605	0.00000000131610435	0.000000001243704	0.00000000123937605	0.0000000011916993	0.00000000125112735	0.0000000013376913	0.00000000131743095	0.00000000119556525	0.0000000012131988	0.0000000012622236	0.000000001289706	0.0000000011893332	0.0000000013219602	0.00000000140782125	0.00000000123904935	0.0000000012521883	0.0000000013472052	0.0000000011927091	0.00000000127963935	0.00000000135154305	0.0000000015310548	0.0000000012205776	0.0000000012988602	0.0000000012317514			
	0.000000001195392	0.0000000012409353	0.0000000011954745	0.0000000016300713	0.0000000012371502	0.0000000012126312	0.0000000012114861	0.00000000125376405	0.00000000121326975	0.00000000138815655	0.00000000132510015	0.00000000126202065	0.00000000129889815	0.0000000012347181	0.0000000013329261	0.00000000128342775	0.00000000139074375	0.00000000144895245	0.0000000012750144	0.0000000012072852	0.000000001317327	0.0000000011873334	0.0000000014429085	0.0000000011882673	0.0000000015160134	0.00000000127695645	0.0000000011866767	0.0000000013416876			
	0.0000000012141921	0.0000000012476739	0.0000000012933822	0.0000000016811916	0.00000000119448615	0.00000000121884675	0.00000000120048555	0.00000000121921635	0.00000000124277835	0.00000000129605685	0.00000000137118135	0.00000000118741425	0.00000000119291865	0.00000000118933815	0.00000000118827555	0.0000000011929104	0.0000000012759549	0.00000000130568955	0.0000000011988372	0.0000000012439944	0.0000000013248477	0.0000000012250887	0.0000000012607485	0.00000000122708355	0.00000000130820745	0.0000000011891781	0.00000000120512865	0.0000000011918874			
