	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length	Length			
PB_5	7708.48	7378.4	7602.9	8410.32	8442.35	7402.88	7610.16	7241.35	7327.61	7725.73	8679.82	7548.79	7471.46	7530.56	7714.08	7504.11	8599.05	8730.73	7303.35	7617.73	7530.79	7705.04	8478.49	7445.73	8763.33	8425.83	7282.36	7522.1			
PB_4	8783.19	7886.12	8184.89	9031.43	7810.17	8066.82	7346	7201.8	7841.39	7277.24	8772.02	7293.02	7717.96	8035.63	7364.07	7828.74	8220.46	8194.85	7818.21	8020.38	7266.57	7539.42	8530.59	8046.37	8315.31	8043.19	7667.62	7718.96			
AR_CLKP_0	7732.08	7301.8	7634.37	9546.61	8153.21	7616.06	7447.07	7207.55	8282.91	7853.19	7886.08	7237.89	7361.98	7970.71	7896.32	7254.25	7364.24	8811.68	7350.18	7713.4	8486.3	7223.14	8286.16	7686.16	8930.13	7438.4	7191.59	7534			
AR_CLKN_0	7732.21	7301.98	7635.22	9546.76	8153.31	7616.97	7447.49	7206.86	8282.73	7853.91	7886.82	7236.97	7362.9	7971.59	7895.52	7254.28	7364.17	8811.14	7350.23	7713.17	8486.69	7223	8286.84	7685.81	8930.61	7439.25	7191.8	7533.56			
JCOMP	7338.41	7214.76	7800.43	8043.73	7419.23	7619.4	7197.79	7235.45	7491.6	8023.74	8123.59	7255.5	7546.77	7220.45	7633.54	7286.46	7346.28	9087.42	7445.92	7597.99	7979.99	7350.73	7841.01	7229.63	9614.71	7952.92	7235.57	7220.49			
PL_0	9380.65	9378.76	9377.68	9375.04	9375.43	9384.43	9379.19	9380.35	9382.09	9382.25	9381.69	9380.13	9376.08	9378.88	9382.84	9384.49	9384.59	9380.45	9384.13	9383.64	9383.75	9375.18	9381.51	9380.56	9384.49	9378.49	9376.14	9375.76			
TESTMODE	7403.12	7745.84	7193.55	7924.5	7339.4	7547.12	7335.99	7325.03	7459.84	7494.68	8924.19	7348.03	7391.04	7875.71	7194.38	7575.8	7620.21	8194.27	7190.02	7589.23	8331	7661.41	9163.6	7305.89	7935.59	8219.91	7640.66	8277.16			
XOSC_EXTAL	7331.04	7908.89	7644.64	7661.96	7744.8	7605.01	7428.93	7580.01	7534.29	7882.31	8977.12	7250.96	7756.6	7819.25	8218.62	7531.42	8775.59	8746.64	7203.08	7945.69	8019.57	7236.93	7706.43	7776.51	7727.58	8477.87	7487.61	7582.98			
XOSC_XTAL	7365.91	7570.47	7287.05	9367.38	7821.66	7628.91	7543.28	8041.64	7343.39	7220.88	8373.02	7784.22	7815.79	8326.86	8178.4	8033.24	7335.98	8206.84	7687.1	7902	8627.01	7448.38	7581.4	8030.2	8716.99	8259.51	7808.56	7616.24			
RESET_B	7525.98	7190.27	7641.32	8532.19	7207.84	7419.11	7254.95	7461.04	8547.19	8478.42	7801.32	7278.25	7202.02	7456.32	7198.72	7198.73	8717.23	8517.88	7366.96	7588	8127.11	7537.02	8242.39	7978.84	9269.85	7256.11	7286.55	7198.58			
POR_B	7529.94	7886.24	7472.81	8012.36	7612.95	7819.44	7306.98	7396.92	7311.3	7323.23	8567.33	7242.44	7469.93	8109.11	7235.15	7276.47	7995.27	8272.99	7385.09	7315.99	8380.88	7240.69	9082.47	7375.21	8011.61	7888.79	7601.21	8375.57			
POST_AN	7639.57	7737.59	7974.8	9823.37	7976.39	7537.6	7511.37	7222.42	7582.59	8107.22	7984.43	7245.85	7352.72	7649.84	7816.4	7208.08	8011.88	8532.25	7509.39	7589.02	8164.88	7228.54	7755.39	8191.17	9279.12	7397.44	7871.88	7465.16			
TCK	7244.8	7520.82	7245.3	9879.22	7497.88	7349.28	7342.34	7598.57	7353.15	8413.07	8030.91	7648.61	7872.11	7483.14	8078.34	7778.35	8428.75	8781.53	7727.36	7316.88	7983.8	7195.96	8744.9	7201.62	9187.96	7739.13	7191.98	8131.44			
TMS	7358.74	7561.66	7838.68	10189.04	7239.31	7386.95	7275.67	7389.19	7531.99	7854.89	8310.19	7196.45	7229.81	7208.11	7201.67	7229.76	7733.06	7913.27	7265.68	7539.36	8029.38	7424.78	7640.9	7436.87	7928.53	7207.14	7303.81	7223.56			
	916.6859895	943.9404906	900.4216168	578.9022645	834.9337635	888.8945679	1002.806829	1008.652214	903.4143089	878.8378061	573.3380962	1039.908504	979.6566332	888.3909629	931.7199558	985.3768148	760.1312139	509.0318587	974.097888	894.1397222	777.6050594	992.3938235	722.0838582	900.9572359	511.3705517	795.9310328	975.2303149	935.9760322	1039.908504	509.0318587	
	2136.27	2190.78	2187.76	2527.08	2176.52	2035.15	2186.7	2180.9	2172.49	2161.9	1583.27	2186.48	2184.14	2176.12	2188.66	2192.6	2048.61	1563.96	2194.21	2110.35	2157.04	2188.62	2179.76	2183.3	1887.13	2177.11	2192.91	2185.85	2527.08	1563.96	
	9381.07	9381.05	9381.31	10189.04	9384.36	9384.43	9384.49	9382.7	9383.6	9382.78	9384.59	9382.93	9384.42	9384.23	9383.04	9384.49	9384.59	9383.99	9384.23	9384.01	9383.75	9384.58	9384.58	9384.92	9614.71				2.52708	1.56396	
	7244.8	7190.27	7193.55	7661.96	7207.84	7349.28	7197.79	7201.8	7211.11	7220.88	7801.32	7196.45	7200.28	7208.11	7194.38	7191.89	7335.98	7820.03	7190.02	7273.66	7226.71	7195.96	7204.82	7201.62	7727.58						
																															
																															
																															
	microstrip ~=  150ps/in																														
	stripline ~=  180ps/in																														
	Average = 165ps/1n																														
																															
																															
																															
PC_12	0.00000000127888695	0.00000000128652975	0.00000000129203085	0.0000000014289495	0.00000000144152415	0.0000000013344903	0.0000000011921745	0.00000000123504315	0.00000000118983315	0.00000000120350505	0.0000000014227488	0.000000001197141	0.0000000012034737	0.0000000012037212	0.00000000121469205	0.00000000118666185	0.0000000013335597	0.00000000146154855	0.00000000124561635	0.0000000012054768	0.00000000119240715	0.00000000129046005	0.0000000012932865	0.00000000121690965	0.0000000014093145	0.0000000013473537	0.000000001194204	0.0000000011980188			
PC_11	0.00000000125610705	0.0000000012266331	0.000000001313433	0.00000000152811615	0.000000001318911	0.00000000126197775	0.000000001235058	0.00000000120530355	0.00000000123180585	0.0000000012170202	0.0000000013780833	0.0000000011941842	0.0000000011880462	0.00000000120341595	0.00000000121239525	0.0000000011876898	0.00000000147576825	0.00000000129030495	0.00000000122254935	0.0000000012001539	0.00000000120060105	0.00000000130008945	0.0000000013114761	0.00000000123433695	0.00000000150096045	0.00000000136011315	0.0000000012546963	0.0000000011960586			
PC_15	0.00000000154678095	0.0000000015461259	0.00000000154638825	0.00000000154607145	0.00000000154694925	0.000000001546611	0.00000000154735515	0.00000000154590315	0.0000000015463899	0.00000000154721655	0.00000000154598235	0.00000000154582395	0.0000000015467892	0.0000000015471027	0.00000000154579755	0.0000000015464955	0.00000000154723635	0.0000000015461688	0.00000000154672485	0.00000000154609125	0.00000000154720335	0.00000000154715385	0.0000000015463041	0.0000000015472545	0.00000000154591305	0.0000000015469212	0.0000000015470334	0.000000001547073			
PG_11	0.00000000154729245	0.00000000154666545	0.0000000015458157	0.000000001547007	0.0000000015463569	0.0000000015464988	0.00000000154669515	0.0000000015471225	0.00000000154663905	0.000000001545786	0.0000000015460533	0.0000000015463932	0.00000000154637175	0.00000000154575795	0.0000000015461226	0.00000000154675125	0.0000000015470565	0.00000000154588335	0.00000000154643445	0.00000000154718355	0.00000000154597575	0.0000000015460137	0.00000000154657965	0.00000000154732545	0.0000000015459609	0.000000001545852	0.000000001545786	0.0000000015462282			
PD_4	0.00000000154653015	0.0000000015470928	0.00000000154645095	0.00000000154728255	0.0000000015457266	0.000000001547073	0.000000001546512	0.0000000015473106	0.00000000154701855	0.00000000154714395	0.00000000154666875	0.00000000154639485	0.0000000015465021	0.00000000154728915	0.000000001546644	0.0000000015457761	0.00000000154720665	0.00000000154682055	0.0000000015460401	0.00000000154736505	0.00000000154630575	0.0000000015459114	0.00000000154735515	0.0000000015469443	0.00000000154630575	0.00000000154701195	0.0000000015473601	0.00000000154666545			
PD_5	0.00000000154657965	0.000000001545786	0.0000000015468486	0.00000000154670835	0.00000000154658295	0.0000000015459642	0.00000000154577775	0.00000000154628595	0.0000000015458355	0.00000000154669845	0.00000000154670505	0.00000000154641135	0.0000000015470961	0.00000000154611105	0.0000000015470532	0.0000000015473469	0.0000000015462051	0.00000000154723305	0.0000000015465582	0.0000000015471654	0.000000001546248	0.00000000154610445	0.00000000154641795	0.000000001546611	0.0000000015461292	0.00000000154608465	0.0000000015465219	0.0000000015470004			
